fio,phone,birth,addr,people_num,people_fio,invalids,children,children_age,food,diet,water,drugs,drugs_detail,gigien,gigien_detail,pampers,pampers_detail,pers_data_agreement,photo_agreement,birth_year,_id
"{'family': '16.01', 'name': '', 'paternal': ''}",,11.09.1975,"{'city': '', 'distr': 'Киевский', 'street': '', 'house': '', 'apartment': ''}",,,,,,,,,,,,,,,,,1975,633add27b2db14be2b1e67d5
"{'family': 'Babich', 'name': 'Artem', 'paternal': ''}",7145789456,11.02.1980,"{'city': 'Kharkov', 'distr': 'Основянский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,,,,,,,,,,,,,,1980,633ae13ffd2bd880a46d651a
"{'family': 'Babich16.25', 'name': '', 'paternal': ''}",7145789456,11.09.1910,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,,,,,,,,,,,,,,1910,633ae27201292cb752d945d4
"{'family': 'babich', 'name': 'artem', 'paternal': 'Владимирович'}",7145789456,11.02.1985,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'lenina', 'house': '2', 'apartment': ''}",,,Нет,Нет,1,Нет,1,Нет,Нет,,Нет,,Нет,,Да,Да,1985,634ff506735a317a96d85385
"{'family': 'Дрэд', 'name': 'Иван', 'paternal': 'оо'}",1245987563,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': 'Пушкина', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,63516a36056052ef59ab62eb
"{'family': 'Иванов13.14_24\\10', 'name': 'Сергей', 'paternal': 'Васильевич'}",5874693256,11.09.1953,"{'city': 'Изюм', 'distr': 'Шевченковский', 'street': 'Щорса', 'house': '1', 'apartment': '1'}",1,Сагдеевы,Нет,Нет,6,Нет,нет,Нет,Нет,,Нет,,Нет,,Да,Да,1953,6356660172aac1858b929df8
"{'family': 'nnn', 'name': 'kk', 'paternal': 'll'}",1254789653,11.09.1970,"{'city': 'zz', 'distr': 'Шевченковский', 'street': 'zz', 'house': '1', 'apartment': '1'}",2,dd,Нет,Нет,,Нет,yt,Нет,Нет,,Нет,,Нет,,Да,Да,1970,635669fdaa1ffb7133cf29cb
"{'family': 'jjjjj', 'name': 'k', 'paternal': 'l'}",5879462158,11.09.1980,"{'city': 'q', 'distr': 'Шевченковский', 'street': '1', 'house': '1', 'apartment': '2'}",2,3,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1980,63566acbcb88a4164e77d8c9
"{'family': 'jjjjj13.44', 'name': 'k', 'paternal': 'l'}",5879462158,11.09.1980,"{'city': 'q', 'distr': 'Шевченковский', 'street': '1', 'house': '1', 'apartment': '2'}",2,3,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1980,63566c8391bf243f53dcd341
"{'family': '24/10jjjjj13.45', 'name': 'k', 'paternal': 'l'}",5879462158,11.09.1980,"{'city': 'q', 'distr': 'Шевченковский', 'street': '1', 'house': '1', 'apartment': '2'}",2,3,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1980,63566ccc7af1903411e55089
"{'family': '14.26', 'name': 'l', 'paternal': 'l'}",152498756,11.09.1971,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1971,63567693f0d2d9e91efc7dcf
"{'family': '15.30', 'name': 'a', 'paternal': 's'}",0632617917,11.09.1975,"{'city': 'Харьков', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1975,63568577ad68bd4ff040b439
"{'family': '15.46', 'name': 'ggg', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6356893e112bce2766001c7b
"{'family': '15.50', 'name': 'Artem', 'paternal': ''}",7145789456,11.02.1980,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1980,63568a3738a3983289364358
"{'family': '16.08 24/10', 'name': 'aaa', 'paternal': 'sss'}",,11.09.1975,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Нет,Нет,1975,63568e5afe5bd8feb5c80632
"{'family': '16.17 24/10', 'name': 'Artem', 'paternal': ''}",,11.09.1970,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1970,635690877e3215d9efbab370
"{'family': '16.23 24/10', 'name': 'z', 'paternal': 'x'}",7145789456,11.09.1971,"{'city': 'Kharkov', 'distr': 'Шевченковский', 'street': 'ddd', 'house': '2', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1971,6356920e1dbe8c964ff00602
"{'family': '23.00-24/10', 'name': 'ывапро', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6356cbfaea1f3d1958a5c732
"{'family': '13.48_25/10', 'name': '', 'paternal': ''}",,11.02.1985,"{'city': '', 'distr': 'Шевченковский', 'street': '', 'house': '', 'apartment': ''}",,,Нет,Нет,,Нет,,Нет,Нет,,Нет,,Нет,,Да,Да,1985,6357bf1c4acc0afc27063d0f
